100
3 3
2 10 58519
1 7 44640
3 6 33550
1 5 88031
1 2 25059
2 4 63071
7 10 76175
5 6 74110
2 6 18123
2 3 79828
10 28
4 10 44329
3 8 53251
3 6 72721
3 10 60885
3 4 3223
3 9 86549
6 9 15440
1 3 37427
3 7 87677
1 6 88174
1 10 80122
4 9 25483
7 9 63342
1 5 91434
6 10 84922
2 7 1470
2 4 74002
3 5 52015
5 8 22402
5 6 7601
1 2 0
2 10 15821
2 5 13316
5 7 32760
2 8 23738
6 7 86706
4 5 58247
2 6 77758
10 21
2 8 24710
2 7 16834
6 8 25915
1 9 62114
8 10 55592
1 10 69259
2 9 69420
3 8 36824
4 7 45921
5 9 52561
3 6 91079
1 7 12478
3 9 81369
1 8 11778
5 8 81753
2 3 0
1 6 95459
1 4 86835
3 5 47311
4 5 2761
3 10 44276
10 38
1 3 18261
1 10 60312
4 10 27326
6 8 57910
1 7 75420
9 10 9784
2 3 95687
4 6 132
2 4 89512
6 9 63014
4 5 58089
5 8 9775
1 6 74777
3 4 40217
2 10 94352
4 8 9476
6 10 24171
2 9 72125
3 7 87067
1 9 0
7 9 92289
3 5 25179
5 9 33232
5 6 5346
7 8 70901
6 7 27727
3 6 47758
2 8 84549
1 4 73785
1 8 31409
5 7 54673
4 7 13647
2 5 5225
8 9 12521
2 7 56992
4 9 4328
3 10 65744
2 6 4861
10 17
5 6 24242
8 10 39852
6 8 66738
3 4 233
6 7 0
2 5 90435
1 2 35965
4 5 37809
6 10 746
6 9 37505
2 7 89611
4 10 78903
7 8 73823
5 7 57162
2 4 54214
3 6 67205
5 10 98879
10 23
7 10 0
6 7 77769
2 8 90099
8 9 47872
1 6 88002
9 10 76667
6 8 37188
5 8 56204
4 7 41825
4 6 58980
4 10 37672
1 5 8862
2 9 90326
2 7 13677
1 9 22452
1 7 66606
5 9 11772
3 7 57167
2 3 29934
7 9 8571
2 6 51036
6 9 64506
7 8 76437
10 26
6 8 91785
5 7 80502
2 6 79677
7 8 79097
3 6 22002
4 9 7631
2 7 18715
1 4 90913
1 6 71864
4 6 8878
4 8 48335
4 10 39071
3 10 99797
5 6 93587
6 9 15759
7 10 13140
1 2 0
2 8 29093
1 9 78759
2 4 31791
2 10 57982
2 9 27323
6 7 72820
6 10 46382
1 10 36530
3 4 65968
10 20
3 6 70925
8 10 18883
6 9 73953
3 4 14834
6 8 82322
1 5 32542
4 10 0
2 3 68724
6 7 2323
2 10 17296
5 9 51773
3 8 57954
1 4 6331
2 6 79450
5 8 99270
3 10 43539
1 9 91379
1 6 24058
1 3 76358
7 8 82247
10 11
2 4 2319
5 8 89921
6 9 73419
7 8 0
3 4 52424
1 10 45430
1 4 28642
1 3 42421
6 10 85530
2 7 23750
4 9 52322
10 37
4 7 93472
3 4 18898
3 8 70094
1 8 45453
2 10 71136
8 10 9281
1 7 84242
7 8 27053
5 9 5642
2 4 9823
1 6 39271
1 9 30850
5 10 38354
5 6 52744
2 5 14747
1 10 4613
4 10 25647
4 6 21680
7 10 36320
2 7 0
1 4 38017
3 5 85149
6 10 90295
5 7 2329
7 9 78545
3 9 52816
4 5 74155
8 9 14693
3 6 85643
3 7 703
9 10 803
3 10 16523
2 3 35930
4 8 81257
6 8 91584
1 2 85524
6 9 50314
10 25
4 6 73719
3 5 58293
7 9 40138
2 4 61907
3 10 75952
7 10 11486
2 10 68212
4 7 60742
8 10 87383
2 3 89995
2 9 9167
6 10 1843
5 7 70199
4 10 0
3 4 25907
7 8 41717
2 8 28520
1 2 92620
4 8 76703
5 8 53505
1 7 67675
6 9 53070
1 10 85133
1 5 96244
9 10 62597
10 12
2 6 69289
5 10 55160
3 6 77927
8 10 45231
1 10 35207
4 7 83780
1 5 27827
3 8 0
6 8 91885
2 7 24575
8 9 79201
3 10 91201
10 14
5 7 84143
3 8 42726
2 3 1293
1 5 65668
5 10 18548
1 2 4937
8 9 68045
9 10 52527
4 9 0
2 8 41854
3 10 21322
1 7 32801
1 4 74307
6 10 61182
10 26
8 10 27293
1 9 63762
4 8 98730
7 8 47546
5 8 32177
2 6 87127
4 5 4403
6 8 0
1 4 11165
6 7 20090
2 3 66567
4 6 13499
9 10 59464
5 9 17266
5 7 72212
3 4 56346
1 5 96836
7 9 97036
5 10 55556
4 7 20784
6 9 18356
3 5 85522
1 10 70102
2 7 32755
5 6 16706
3 10 81147
10 21
1 2 75787
5 10 61313
6 9 53915
3 7 1236
1 6 28217
2 4 9599
2 6 64572
5 9 0
8 10 55989
1 9 34371
3 5 6316
3 8 77846
4 10 37068
6 7 61255
4 9 23200
2 3 79541
5 8 29072
5 7 43635
4 7 75163
1 4 5687
2 9 26644
10 35
3 9 28325
8 9 8094
8 10 77035
2 3 63162
4 5 96847
7 8 24048
1 3 58103
4 10 58689
1 10 79180
3 4 72394
5 7 38131
2 9 59072
4 6 93801
6 7 9768
1 4 94533
4 9 15692
2 8 94489
3 7 90223
6 10 30833
6 8 71912
2 6 36482
1 6 65211
5 9 0
1 7 64603
9 10 4795
7 9 32211
4 8 32994
2 5 5781
1 9 94090
1 8 3598
3 10 67260
2 10 33361
4 7 66472
3 8 62565
5 6 88667
10 17
8 9 98571
7 10 45857
4 5 85005
1 7 48904
7 9 79236
3 9 36398
2 3 56138
2 5 82528
4 7 85189
2 7 26410
3 8 83187
2 8 48622
6 8 63574
1 9 27385
9 10 76002
3 10 49249
7 8 0
10 33
4 6 12239
6 10 50721
5 9 17360
3 6 67177
1 4 94127
4 9 0
5 6 36463
6 9 52449
3 4 32009
4 10 84148
1 2 82521
2 5 69230
2 4 76150
1 7 22933
3 7 95913
4 5 51135
8 9 9582
5 10 90566
6 7 23317
9 10 46224
8 10 64665
2 10 28718
2 8 7364
7 10 11174
2 9 40740
4 8 16881
1 6 10803
2 7 90589
6 8 95257
4 7 76942
2 6 62124
7 9 89805
3 8 53566
10 29
2 3 61629
2 10 69935
2 4 8006
2 5 42748
3 9 28443
4 10 36133
4 7 64969
3 8 49993
4 8 40684
8 10 86304
3 7 979
1 5 19740
1 8 21913
2 7 29873
5 10 62771
2 9 47587
3 5 34918
7 9 45643
7 10 63588
2 6 37007
1 3 50338
8 9 19235
3 4 16755
1 4 0
7 8 47613
9 10 22182
5 6 89473
5 7 92301
1 6 23873
10 32
4 5 37917
5 10 73705
4 7 0
7 9 92129
5 9 33218
2 5 88042
2 10 52477
2 6 8267
1 2 20617
6 10 49673
3 7 84759
2 4 91476
1 3 18633
8 9 56120
4 8 41322
6 7 64837
4 9 70684
8 10 57247
5 7 41279
1 5 68779
4 6 45763
7 10 60610
7 8 2289
1 9 83287
2 7 50844
5 8 58754
1 6 54762
3 5 92143
5 6 10486
2 9 99300
3 8 55311
2 3 84271
10 45
4 7 51306
2 3 26426
1 7 99759
7 8 48069
7 9 21445
1 10 48651
2 9 0
5 9 1688
9 10 82668
6 9 39936
6 10 29138
3 9 2087
2 10 57565
3 5 61624
1 8 72561
3 7 3117
8 10 31578
5 6 43759
5 7 59076
1 6 40418
4 9 87215
1 9 54077
2 7 61705
1 2 49992
2 5 95437
1 3 31051
4 5 24589
4 8 57763
1 4 54927
2 8 26638
4 6 4728
2 4 20979
7 10 49057
3 10 5476
3 4 25258
6 7 61952
6 8 29793
3 6 96317
8 9 18832
3 8 52821
4 10 31738
1 5 25881
5 10 14403
2 6 34456
5 8 31364
10 17
4 9 89750
9 10 94737
4 10 12579
5 7 88203
3 7 1483
6 8 37860
1 8 2249
1 10 60342
2 9 0
5 9 81515
6 10 88876
4 6 46071
3 8 74752
2 8 90099
2 7 12281
8 9 79176
4 7 50459
10 15
7 8 47917
5 10 79922
1 6 54955
7 10 82111
1 5 80466
4 5 66468
6 7 64977
3 8 91622
3 4 84105
5 6 97721
2 3 61190
3 5 72024
8 9 9810
1 8 60190
1 7 0
10 14
1 6 77832
2 9 19751
6 9 27140
5 9 85571
3 5 2562
7 9 23677
2 10 81649
5 8 90698
3 6 50226
4 6 28304
2 7 81615
5 6 3990
2 3 0
2 4 17157
10 45
4 7 47120
1 9 1536
7 10 31966
2 8 41025
1 6 44732
4 10 41879
2 9 74955
6 7 45782
4 5 72220
7 9 85131
4 9 30101
1 7 94877
3 5 41695
3 9 5305
2 5 20900
1 5 68142
2 3 48012
5 9 68583
9 10 76370
3 4 53929
5 10 68721
8 9 96556
1 2 55511
2 6 47540
1 3 88233
3 8 67682
3 10 55638
1 8 43086
5 7 62814
8 10 91202
2 10 13140
2 7 27174
1 4 93758
4 8 0
2 4 55494
6 8 23263
5 8 87775
6 9 79057
3 6 63217
6 10 90832
7 8 90281
5 6 21352
1 10 91764
3 7 83578
4 6 77252
